Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,s_cfs
2010,1,1,1,0.0018224463918983815
2010,1,1,2,0.00032975140973603295
2010,1,1,3,0.0003057146563725596
2010,1,1,4,1.6121232835396952e-05
2010,1,1,5,0.0
2010,1,1,6,0.0
2010,1,1,7,0.0
2010,1,1,8,0.0
2010,1,1,9,0.0
2010,1,1,10,0.0
2010,1,1,11,0.0
2010,1,1,12,0.0
2010,1,1,13,0.0
2010,1,1,14,0.0
2010,1,1,15,0.03996148819007019
2010,1,1,16,0.23682787231547447
2010,1,1,17,0.3978609194595855
2010,1,1,18,0.44819899152333237
2010,1,1,19,0.47176148971340914
2010,1,1,20,0.5118589402768504
2010,1,1,21,0.5720240318425109
2010,1,1,22,0.5812568286528952
2010,1,1,23,0.4081606314414237
2010,1,1,24,0.06081736332964297
2010,1,2,1,0.0018994555506676263
2010,1,2,2,0.0005155241280588676
2010,1,2,3,0.00036976563162816127
2010,1,2,4,1.6544134099763946e-05
2010,1,2,5,0.0
2010,1,2,6,0.0
2010,1,2,7,0.0
2010,1,2,8,0.0
2010,1,2,9,0.0
2010,1,2,10,0.0
2010,1,2,11,0.0
2010,1,2,12,0.0
2010,1,2,13,0.0
2010,1,2,14,0.0
2010,1,2,15,0.028280954376172576
2010,1,2,16,0.21902557109322707
2010,1,2,17,0.4075698962274183
2010,1,2,18,0.4747451913090095
2010,1,2,19,0.4931928238228278
2010,1,2,20,0.5349495738491916
2010,1,2,21,0.6069259402251986
2010,1,2,22,0.6413528482634823
2010,1,2,23,0.4627758788353308
2010,1,2,24,0.06456781941179592
2010,1,3,1,0.0021187524331084217
2010,1,3,2,0.0005285928553427262
2010,1,3,3,0.0003926259239452314
2010,1,3,4,1.753447746468882e-05
2010,1,3,5,0.0
2010,1,3,6,0.0
2010,1,3,7,0.0
2010,1,3,8,0.0
2010,1,3,9,0.0
2010,1,3,10,0.0
2010,1,3,11,0.0
2010,1,3,12,0.0
2010,1,3,13,0.0
2010,1,3,14,0.0
2010,1,3,15,0.03675491286367374
2010,1,3,16,0.24336138315620487
2010,1,3,17,0.4318934392946353
2010,1,3,18,0.49064443511014466
2010,1,3,19,0.5141679711585725
2010,1,3,20,0.555449915651578
2010,1,3,21,0.6324042618186312
2010,1,3,22,0.6649199344389454
2010,1,3,23,0.46116343516379743
2010,1,3,24,0.06678414209367212
2010,1,4,1,0.002116163883694592
2010,1,4,2,0.00043601521509958744
2010,1,4,3,0.0003451021663684182
2010,1,4,4,1.7520001089392443e-05
2010,1,4,5,0.0
2010,1,4,6,0.0
2010,1,4,7,0.0
2010,1,4,8,0.0
2010,1,4,9,0.0
2010,1,4,10,0.0
2010,1,4,11,0.0
2010,1,4,12,0.0
2010,1,4,13,0.0
2010,1,4,14,0.0
2010,1,4,15,0.033076129896700834
2010,1,4,16,0.2365238726972118
2010,1,4,17,0.43230660808057036
2010,1,4,18,0.4985773690984701
2010,1,4,19,0.5111722205030267
2010,1,4,20,0.5542314371928874
2010,1,4,21,0.6242377503774773
2010,1,4,22,0.6619630237037809
2010,1,4,23,0.44675645207697545
2010,1,4,24,0.08432454708175535
2010,1,5,1,0.002151551181024552
2010,1,5,2,0.00028307455950387186
2010,1,5,3,0.00021023599054217844
2010,1,5,4,1.3408251116723325e-05
2010,1,5,5,0.0
2010,1,5,6,0.0
2010,1,5,7,0.0
2010,1,5,8,0.0
2010,1,5,9,0.0
2010,1,5,10,0.0
2010,1,5,11,0.0
2010,1,5,12,0.0
2010,1,5,13,0.0
2010,1,5,14,0.0
2010,1,5,15,0.03241461218174639
2010,1,5,16,0.23657087108357636
2010,1,5,17,0.4264094213742587
2010,1,5,18,0.4834481480826596
2010,1,5,19,0.5080576417683695
2010,1,5,20,0.5433082042882292
2010,1,5,21,0.608390957260276
2010,1,5,22,0.6338780665461051
2010,1,5,23,0.4282093938645364
2010,1,5,24,0.07849533340207887
2010,1,6,1,0.0023863607029583297
2010,1,6,2,0.00030203745362638744
2010,1,6,3,0.00028320368685815737
2010,1,6,4,1.701125192548495e-05
2010,1,6,5,0.0
2010,1,6,6,0.0
2010,1,6,7,0.0
2010,1,6,8,0.0
2010,1,6,9,0.0
2010,1,6,10,0.0
2010,1,6,11,0.0
2010,1,6,12,0.0
2010,1,6,13,0.0
2010,1,6,14,0.0
2010,1,6,15,0.034102608767765656
2010,1,6,16,0.21017994246377528
2010,1,6,17,0.3891915857715424
2010,1,6,18,0.4509863555931277
2010,1,6,19,0.4803804406308295
2010,1,6,20,0.5104940633698377
2010,1,6,21,0.5686892178985258
2010,1,6,22,0.5757008934856925
2010,1,6,23,0.4339641872299275
2010,1,6,24,0.08080976885467403
2010,1,7,1,0.0025054245839261024
2010,1,7,2,0.0004230436287839709
2010,1,7,3,0.00037015549381484687
2010,1,7,4,1.988045962733431e-05
2010,1,7,5,0.0
2010,1,7,6,0.0
2010,1,7,7,0.0
2010,1,7,8,0.0
2010,1,7,9,0.0
2010,1,7,10,0.0
2010,1,7,11,0.0
2010,1,7,12,0.0
2010,1,7,13,0.0
2010,1,7,14,0.0
2010,1,7,15,0.02133773451377417
2010,1,7,16,0.1957068572561755
2010,1,7,17,0.38540094124377783
2010,1,7,18,0.4589522398615927
2010,1,7,19,0.5013639276597808
2010,1,7,20,0.5479392650737185
2010,1,7,21,0.6195171918853289
2010,1,7,22,0.6544501757200322
2010,1,7,23,0.4176163048233478
2010,1,7,24,0.07078051608179876
2010,1,8,1,0.002847609956922294
2010,1,8,2,0.0005068589186653332
2010,1,8,3,0.00036833472512411825
2010,1,8,4,1.86128532660928e-05
2010,1,8,5,0.0
2010,1,8,6,0.0
2010,1,8,7,0.0
2010,1,8,8,0.0
2010,1,8,9,0.0
2010,1,8,10,0.0
2010,1,8,11,0.0
2010,1,8,12,0.0
2010,1,8,13,0.0
2010,1,8,14,0.0
2010,1,8,15,0.029064612860144307
2010,1,8,16,0.23583441342963848
2010,1,8,17,0.41381452367925375
2010,1,8,18,0.4728104356658029
2010,1,8,19,0.5155716566289544
2010,1,8,20,0.5647087842233515
2010,1,8,21,0.634567865006197
2010,1,8,22,0.6590151668148009
2010,1,8,23,0.4317440820931951
2010,1,8,24,0.0758753260450376
2010,1,9,1,0.0029460292682966078
2010,1,9,2,0.000543349193952707
2010,1,9,3,0.0003576510768222877
2010,1,9,4,1.8708172248704416e-05
2010,1,9,5,0.0
2010,1,9,6,0.0
2010,1,9,7,0.0
2010,1,9,8,0.0
2010,1,9,9,0.0
2010,1,9,10,0.0
2010,1,9,11,0.0
2010,1,9,12,0.0
2010,1,9,13,0.0
2010,1,9,14,0.0
2010,1,9,15,0.04104717053806224
2010,1,9,16,0.25015998253863503
2010,1,9,17,0.43942952960848075
2010,1,9,18,0.4992858734733516
2010,1,9,19,0.5174555972972422
2010,1,9,20,0.5586409008656829
2010,1,9,21,0.6279616503207567
2010,1,9,22,0.6615197603975186
2010,1,9,23,0.4329382797081572
2010,1,9,24,0.07292254005011185
2010,1,10,1,0.002915391926257433
2010,1,10,2,0.00044356853112288556
2010,1,10,3,0.0003040223515387581
2010,1,10,4,9.400604463193701e-06
2010,1,10,5,0.0
2010,1,10,6,0.0
2010,1,10,7,0.0
2010,1,10,8,0.0
2010,1,10,9,0.0
2010,1,10,10,0.0
2010,1,10,11,0.0
2010,1,10,12,0.0
2010,1,10,13,0.0
2010,1,10,14,0.0
2010,1,10,15,0.04012976635827092
2010,1,10,16,0.23441312158150476
2010,1,10,17,0.41790661918039795
2010,1,10,18,0.4879017923472519
2010,1,10,19,0.5060559334293724
2010,1,10,20,0.5492607646735965
2010,1,10,21,0.6260595396865136
2010,1,10,22,0.6334496718302685
2010,1,10,23,0.44586598346310613
2010,1,10,24,0.07106054860153246
2010,1,11,1,0.0031902250381936953
2010,1,11,2,0.000427509923202656
2010,1,11,3,0.000344697709490297
2010,1,11,4,9.322876044608263e-06
2010,1,11,5,0.0
2010,1,11,6,0.0
2010,1,11,7,0.0
2010,1,11,8,0.0
2010,1,11,9,0.0
2010,1,11,10,0.0
2010,1,11,11,0.0
2010,1,11,12,0.0
2010,1,11,13,0.0
2010,1,11,14,0.0
2010,1,11,15,0.03331763283655229
2010,1,11,16,0.24747185504519115
2010,1,11,17,0.4400420268904922
2010,1,11,18,0.5013900346829004
2010,1,11,19,0.520776694437751
2010,1,11,20,0.5635760307976724
2010,1,11,21,0.6362620096278
2010,1,11,22,0.6624050511023805
2010,1,11,23,0.44990623744139036
2010,1,11,24,0.08351966519223855
2010,1,12,1,0.0036830381739695523
2010,1,12,2,0.000539262479068059
2010,1,12,3,0.0003526962607918147
2010,1,12,4,9.282769761933033e-06
2010,1,12,5,0.0
2010,1,12,6,0.0
2010,1,12,7,0.0
2010,1,12,8,0.0
2010,1,12,9,0.0
2010,1,12,10,0.0
2010,1,12,11,0.0
2010,1,12,12,0.0
2010,1,12,13,0.0
2010,1,12,14,0.0
2010,1,12,15,0.04175993587117882
2010,1,12,16,0.2536674621899622
2010,1,12,17,0.41834678135944875
2010,1,12,18,0.48014450187276264
2010,1,12,19,0.5012294014044325
2010,1,12,20,0.5434300926171234
2010,1,12,21,0.6062218177685961
2010,1,12,22,0.6159721806416341
2010,1,12,23,0.4481206242281331
2010,1,12,24,0.08999367615056261
2010,1,13,1,0.0036594127804429758
