Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,s_cfs
2018,1,1,1,0.0
2018,1,1,2,0.0
2018,1,1,3,0.0
2018,1,1,4,0.0
2018,1,1,5,0.0
2018,1,1,6,0.0
2018,1,1,7,0.0
2018,1,1,8,0.0
2018,1,1,9,0.0
2018,1,1,10,0.0
2018,1,1,11,0.0
2018,1,1,12,0.0
2018,1,1,13,0.0
2018,1,1,14,0.0
2018,1,1,15,0.2835586501328859
2018,1,1,16,0.55677419465906
2018,1,1,17,0.6190611502608244
2018,1,1,18,0.567561593436741
2018,1,1,19,0.5184825311325283
2018,1,1,20,0.5121269648047725
2018,1,1,21,0.5327152377339701
2018,1,1,22,0.5367303782553149
2018,1,1,23,0.39769545992490457
2018,1,1,24,0.005446965628891141
2018,1,2,1,0.0
2018,1,2,2,0.0
2018,1,2,3,0.0
2018,1,2,4,0.0
2018,1,2,5,0.0
2018,1,2,6,0.0
2018,1,2,7,0.0
2018,1,2,8,0.0
2018,1,2,9,0.0
2018,1,2,10,0.0
2018,1,2,11,0.0
2018,1,2,12,0.0
2018,1,2,13,0.0
2018,1,2,14,0.0
2018,1,2,15,0.08000241956747577
2018,1,2,16,0.2055377451956892
2018,1,2,17,0.30250969371170006
2018,1,2,18,0.36271148746519327
2018,1,2,19,0.3752810749783354
2018,1,2,20,0.38704030381608984
2018,1,2,21,0.3802233556515273
2018,1,2,22,0.3201879323751768
2018,1,2,23,0.19097866632775276
2018,1,2,24,0.003729652985018836
2018,1,3,1,0.0
2018,1,3,2,0.0
2018,1,3,3,0.0
2018,1,3,4,0.0
2018,1,3,5,0.0
2018,1,3,6,0.0
2018,1,3,7,0.0
2018,1,3,8,0.0
2018,1,3,9,0.0
2018,1,3,10,0.0
2018,1,3,11,0.0
2018,1,3,12,0.0
2018,1,3,13,0.0
2018,1,3,14,0.0
2018,1,3,15,0.12582595914980815
2018,1,3,16,0.307307155976288
2018,1,3,17,0.37935673419188054
2018,1,3,18,0.35978926378388987
2018,1,3,19,0.32524088509884075
2018,1,3,20,0.2614753495890724
2018,1,3,21,0.16557937097831124
2018,1,3,22,0.09540853572855991
2018,1,3,23,0.04762908891127364
2018,1,3,24,0.0030363614643879287
2018,1,4,1,0.0
2018,1,4,2,0.0
2018,1,4,3,0.0
2018,1,4,4,0.0
2018,1,4,5,0.0
2018,1,4,6,0.0
2018,1,4,7,0.0
2018,1,4,8,0.0
2018,1,4,9,0.0
2018,1,4,10,0.0
2018,1,4,11,0.0
2018,1,4,12,0.0
2018,1,4,13,0.0
2018,1,4,14,0.0
2018,1,4,15,0.19925654929233666
2018,1,4,16,0.3395578335203599
2018,1,4,17,0.4239580841817842
2018,1,4,18,0.43306565664964775
2018,1,4,19,0.4333191690536567
2018,1,4,20,0.4549182676033369
2018,1,4,21,0.4904334933090144
2018,1,4,22,0.5029799531244943
2018,1,4,23,0.4035811374953097
2018,1,4,24,0.008397395753840084
2018,1,5,1,0.0
2018,1,5,2,0.0
2018,1,5,3,0.0
2018,1,5,4,0.0
2018,1,5,5,0.0
2018,1,5,6,0.0
2018,1,5,7,0.0
2018,1,5,8,0.0
2018,1,5,9,0.0
2018,1,5,10,0.0
2018,1,5,11,0.0
2018,1,5,12,0.0
2018,1,5,13,0.0
2018,1,5,14,0.0
2018,1,5,15,0.24240691973864606
2018,1,5,16,0.4550918084431701
2018,1,5,17,0.538407973462037
2018,1,5,18,0.5222956843158874
2018,1,5,19,0.4939597773039126
2018,1,5,20,0.49197122147669897
2018,1,5,21,0.5141291249390699
2018,1,5,22,0.5124887371787262
2018,1,5,23,0.358487169712921
2018,1,5,24,0.005883991413523608
2018,1,6,1,0.0
2018,1,6,2,0.0
2018,1,6,3,0.0
2018,1,6,4,0.0
2018,1,6,5,0.0
2018,1,6,6,0.0
2018,1,6,7,0.0
2018,1,6,8,0.0
2018,1,6,9,0.0
2018,1,6,10,0.0
2018,1,6,11,0.0
2018,1,6,12,0.0
2018,1,6,13,0.0
2018,1,6,14,0.0
2018,1,6,15,0.02690998692288279
2018,1,6,16,0.07419835203729272
2018,1,6,17,0.1988786727534278
2018,1,6,18,0.2826258129955634
2018,1,6,19,0.3268117613292107
2018,1,6,20,0.35385380938921673
2018,1,6,21,0.36237436764448294
2018,1,6,22,0.31399831189241195
2018,1,6,23,0.19529286827125736
2018,1,6,24,0.004859535004557292
2018,1,7,1,0.0
2018,1,7,2,0.0
2018,1,7,3,0.0
2018,1,7,4,0.0
2018,1,7,5,0.0
2018,1,7,6,0.0
2018,1,7,7,0.0
2018,1,7,8,0.0
2018,1,7,9,0.0
2018,1,7,10,0.0
2018,1,7,11,0.0
2018,1,7,12,0.0
2018,1,7,13,0.0
2018,1,7,14,0.0
2018,1,7,15,0.17668502194238406
2018,1,7,16,0.42621273454167735
2018,1,7,17,0.5604164999687453
2018,1,7,18,0.5495312991521313
2018,1,7,19,0.5026269735826717
2018,1,7,20,0.5039740838884362
2018,1,7,21,0.511987581201452
2018,1,7,22,0.4868910072505459
2018,1,7,23,0.33084251545691984
2018,1,7,24,0.010845803193454741
2018,1,8,1,0.0
2018,1,8,2,0.0
2018,1,8,3,0.0
2018,1,8,4,0.0
2018,1,8,5,0.0
2018,1,8,6,0.0
2018,1,8,7,0.0
2018,1,8,8,0.0
2018,1,8,9,0.0
2018,1,8,10,0.0
2018,1,8,11,0.0
2018,1,8,12,0.0
2018,1,8,13,0.0
2018,1,8,14,0.0
2018,1,8,15,0.010750688954532546
2018,1,8,16,0.05891168577442257
2018,1,8,17,0.12923000967457837
2018,1,8,18,0.20204392725435036
2018,1,8,19,0.2550935532717567
2018,1,8,20,0.268649087789
2018,1,8,21,0.25832815448069774
2018,1,8,22,0.15962746753822646
2018,1,8,23,0.04524518047378818
2018,1,8,24,0.0011338712464144139
2018,1,9,1,0.0
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,0.0
2018,1,9,9,0.0
2018,1,9,10,0.0
2018,1,9,11,0.0
2018,1,9,12,0.0
2018,1,9,13,0.0
2018,1,9,14,0.0
2018,1,9,15,0.06503330440797048
2018,1,9,16,0.1883572292050732
