Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,s_cfs
2018,1,1,1,0.0
2018,1,1,2,0.0
2018,1,1,3,0.0
2018,1,1,4,0.0
2018,1,1,5,0.0
2018,1,1,6,0.0
2018,1,1,7,0.0
2018,1,1,8,0.0
2018,1,1,9,0.0
2018,1,1,10,0.0
2018,1,1,11,0.0
2018,1,1,12,0.009013142259386521
2018,1,1,13,0.4436796108568431
2018,1,1,14,0.6148196806647204
2018,1,1,15,0.5448388199056988
2018,1,1,16,0.47361890967950787
2018,1,1,17,0.4891230171589846
2018,1,1,18,0.5396747522627909
2018,1,1,19,0.48335907233827624
2018,1,1,20,0.15380097488248273
2018,1,1,21,0.0
2018,1,1,22,0.0
2018,1,1,23,0.0
2018,1,1,24,0.0
2018,1,2,1,0.0
2018,1,2,2,0.0
2018,1,2,3,0.0
2018,1,2,4,0.0
2018,1,2,5,0.0
2018,1,2,6,0.0
2018,1,2,7,0.0
2018,1,2,8,0.0
2018,1,2,9,0.0
2018,1,2,10,0.0
2018,1,2,11,0.0
2018,1,2,12,0.02149423115390858
2018,1,2,13,0.40864626053773345
2018,1,2,14,0.6043334763853779
2018,1,2,15,0.543805645281585
2018,1,2,16,0.4752517972805561
2018,1,2,17,0.4967432863918297
2018,1,2,18,0.5099995264092295
2018,1,2,19,0.3700131754212381
2018,1,2,20,0.13377821384152208
2018,1,2,21,0.0
2018,1,2,22,0.0
2018,1,2,23,0.0
2018,1,2,24,0.0
2018,1,3,1,0.0
2018,1,3,2,0.0
2018,1,3,3,0.0
2018,1,3,4,0.0
2018,1,3,5,0.0
2018,1,3,6,0.0
2018,1,3,7,0.0
2018,1,3,8,0.0
2018,1,3,9,0.0
2018,1,3,10,0.0
2018,1,3,11,0.0
2018,1,3,12,0.0088159858225301
2018,1,3,13,0.28394745371702407
2018,1,3,14,0.427434550899647
2018,1,3,15,0.42529505771834003
2018,1,3,16,0.3926489276602846
2018,1,3,17,0.3997355618927554
2018,1,3,18,0.4065009286288519
2018,1,3,19,0.3712385329350848
2018,1,3,20,0.1355316297868848
2018,1,3,21,0.0
2018,1,3,22,0.0
2018,1,3,23,0.0
2018,1,3,24,0.0
2018,1,4,1,0.0
2018,1,4,2,0.0
2018,1,4,3,0.0
2018,1,4,4,0.0
2018,1,4,5,0.0
2018,1,4,6,0.0
2018,1,4,7,0.0
2018,1,4,8,0.0
2018,1,4,9,0.0
2018,1,4,10,0.0
2018,1,4,11,0.0
2018,1,4,12,1.1311820699913696e-05
2018,1,4,13,0.014676172894313189
2018,1,4,14,0.03624504474270657
2018,1,4,15,0.06176381732713728
2018,1,4,16,0.08976496589172793
2018,1,4,17,0.08856579258368968
2018,1,4,18,0.07643803236199159
2018,1,4,19,0.052038396881005096
2018,1,4,20,0.023854254628434362
2018,1,4,21,0.0
2018,1,4,22,0.0
2018,1,4,23,0.0
2018,1,4,24,0.0
2018,1,5,1,0.0
2018,1,5,2,0.0
2018,1,5,3,0.0
2018,1,5,4,0.0
2018,1,5,5,0.0
2018,1,5,6,0.0
2018,1,5,7,0.0
2018,1,5,8,0.0
2018,1,5,9,0.0
2018,1,5,10,0.0
2018,1,5,11,0.0
2018,1,5,12,0.009343244918821724
2018,1,5,13,0.15637653584530328
2018,1,5,14,0.24182079124146602
2018,1,5,15,0.2546172600510532
2018,1,5,16,0.2518809771221164
2018,1,5,17,0.2218677685776089
2018,1,5,18,0.1535251352100621
2018,1,5,19,0.09005610826432912
2018,1,5,20,0.024700327011194213
2018,1,5,21,0.0
2018,1,5,22,0.0
2018,1,5,23,0.0
2018,1,5,24,0.0
2018,1,6,1,0.0
2018,1,6,2,0.0
2018,1,6,3,0.0
2018,1,6,4,0.0
2018,1,6,5,0.0
2018,1,6,6,0.0
2018,1,6,7,0.0
2018,1,6,8,0.0
2018,1,6,9,0.0
2018,1,6,10,0.0
2018,1,6,11,0.0
2018,1,6,12,0.01083430060000132
2018,1,6,13,0.16301199345617254
2018,1,6,14,0.21497407885139896
2018,1,6,15,0.24518110453441763
2018,1,6,16,0.2689277110969585
2018,1,6,17,0.25625281397559385
2018,1,6,18,0.22252581785454703
2018,1,6,19,0.1599358258783547
2018,1,6,20,0.06788879627772923
2018,1,6,21,0.0
2018,1,6,22,0.0
2018,1,6,23,0.0
2018,1,6,24,0.0
2018,1,7,1,0.0
2018,1,7,2,0.0
2018,1,7,3,0.0
2018,1,7,4,0.0
2018,1,7,5,0.0
2018,1,7,6,0.0
2018,1,7,7,0.0
2018,1,7,8,0.0
2018,1,7,9,0.0
2018,1,7,10,0.0
2018,1,7,11,0.0
2018,1,7,12,0.01462333447194224
2018,1,7,13,0.5132109540609843
2018,1,7,14,0.640149338114808
2018,1,7,15,0.539406771729859
2018,1,7,16,0.4378723688799701
2018,1,7,17,0.4184854802229767
2018,1,7,18,0.44560434066439536
2018,1,7,19,0.4395015531511173
2018,1,7,20,0.1730727302762258
2018,1,7,21,1.729284149612205e-05
2018,1,7,22,0.0
2018,1,7,23,0.0
2018,1,7,24,0.0
2018,1,8,1,0.0
2018,1,8,2,0.0
2018,1,8,3,0.0
2018,1,8,4,0.0
2018,1,8,5,0.0
2018,1,8,6,0.0
2018,1,8,7,0.0
2018,1,8,8,0.0
2018,1,8,9,0.0
2018,1,8,10,0.0
2018,1,8,11,0.0
2018,1,8,12,0.009338513525473355
2018,1,8,13,0.10288946286312588
2018,1,8,14,0.14049652104755841
2018,1,8,15,0.1733739004387682
2018,1,8,16,0.2165774426000353
2018,1,8,17,0.23015940117577188
2018,1,8,18,0.18722187064753057
2018,1,8,19,0.0991711605455555
2018,1,8,20,0.02228207428778868
2018,1,8,21,0.0
2018,1,8,22,0.0
2018,1,8,23,0.0
2018,1,8,24,0.0
2018,1,9,1,0.0
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,0.0
2018,1,9,9,0.0
2018,1,9,10,0.0
2018,1,9,11,0.0
2018,1,9,12,0.031191938013841115
2018,1,9,13,0.24487821440851248
2018,1,9,14,0.3268214693932746
2018,1,9,15,0.37100247234303607
2018,1,9,16,0.37505325597036754
2018,1,9,17,0.3981118107946289
