Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,w_cfs
2018,1,1,1,0.3785852456913242
2018,1,1,2,0.3495262089815528
2018,1,1,3,0.3221753025268132
2018,1,1,4,0.3094539783579453
2018,1,1,5,0.2988945791610532
2018,1,1,6,0.28314418992628876
2018,1,1,7,0.2692566345793207
2018,1,1,8,0.24666761257310943
2018,1,1,9,0.22871469829391353
2018,1,1,10,0.2148753819378547
2018,1,1,11,0.20040573187348573
2018,1,1,12,0.19138715242943494
2018,1,1,13,0.17386785083727982
2018,1,1,14,0.1689560542212989
2018,1,1,15,0.1618652403085152
2018,1,1,16,0.17194644417456736
2018,1,1,17,0.177591434719776
2018,1,1,18,0.18961355598240026
2018,1,1,19,0.20106582430556028
2018,1,1,20,0.21859569375530474
2018,1,1,21,0.24774501293368786
2018,1,1,22,0.2570750733512821
2018,1,1,23,0.2426285624690425
2018,1,1,24,0.2229020780287592
2018,1,2,1,0.19687118120895064
2018,1,2,2,0.17325610599134728
2018,1,2,3,0.1662469582775844
2018,1,2,4,0.15955679105018794
2018,1,2,5,0.15936033884022244
2018,1,2,6,0.16259884932561497
2018,1,2,7,0.1740705197406573
2018,1,2,8,0.19767049937387365
2018,1,2,9,0.22025782181821993
2018,1,2,10,0.22114694547542912
2018,1,2,11,0.21357525448781256
2018,1,2,12,0.21300402178000244
2018,1,2,13,0.16926903172272398
2018,1,2,14,0.15808319707243035
2018,1,2,15,0.14709533443661205
2018,1,2,16,0.14539449464082
2018,1,2,17,0.15080541143764054
2018,1,2,18,0.1411930338144068
2018,1,2,19,0.12407792633129568
2018,1,2,20,0.12695318081175822
2018,1,2,21,0.15537584913659921
2018,1,2,22,0.2026318748943566
2018,1,2,23,0.19542760680074667
2018,1,2,24,0.19092660607253611
2018,1,3,1,0.23210022459280324
2018,1,3,2,0.2242096097532395
2018,1,3,3,0.24330313765815417
2018,1,3,4,0.24338711912871686
2018,1,3,5,0.21340778062750793
2018,1,3,6,0.2003635045084079
2018,1,3,7,0.2079600200322126
2018,1,3,8,0.17246831143166666
2018,1,3,9,0.152056038371318
2018,1,3,10,0.12922772952081704
2018,1,3,11,0.11000893100708764
2018,1,3,12,0.0901524830056413
2018,1,3,13,0.07736262259868612
2018,1,3,14,0.027215146164337158
2018,1,3,15,0.022571845369586407
2018,1,3,16,0.029909313186380466
2018,1,3,17,0.032094956895688975
2018,1,3,18,0.032544424512385886
2018,1,3,19,0.04997172904271141
2018,1,3,20,0.10211777288357728
2018,1,3,21,0.16644155972631325
2018,1,3,22,0.2002500466968714
2018,1,3,23,0.14782874813424798
2018,1,3,24,0.11747068979142761
2018,1,4,1,0.1143939827187908
2018,1,4,2,0.08827501747705332
2018,1,4,3,0.09684760442709175
2018,1,4,4,0.10450022749209756
2018,1,4,5,0.11390190598778013
2018,1,4,6,0.07994226950165553
2018,1,4,7,0.06778909084007739
2018,1,4,8,0.08355132685335147
2018,1,4,9,0.0986358751946172
2018,1,4,10,0.1501203539478691
2018,1,4,11,0.20698082173597473
2018,1,4,12,0.23622086349033297
2018,1,4,13,0.20076542597041777
2018,1,4,14,0.20215749197938757
2018,1,4,15,0.2208629638929515
2018,1,4,16,0.2847301025533
2018,1,4,17,0.33900997521437987
2018,1,4,18,0.39593661776848327
2018,1,4,19,0.5301558960334536
2018,1,4,20,0.7080202123242639
2018,1,4,21,0.8711843075402653
2018,1,4,22,0.9168255545301575
2018,1,4,23,0.9657327646200324
2018,1,4,24,0.9783838638702576
2018,1,5,1,0.9808449116806554
2018,1,5,2,0.9674965432418215
2018,1,5,3,0.9575442496586344
2018,1,5,4,0.9652230543048045
2018,1,5,5,0.9969324846126704
2018,1,5,6,0.9941021680072527
2018,1,5,7,1.0
2018,1,5,8,1.0
2018,1,5,9,1.0
2018,1,5,10,1.0
2018,1,5,11,1.0
2018,1,5,12,0.9802255048985206
2018,1,5,13,0.9432051779015699
2018,1,5,14,0.9262050793530124
2018,1,5,15,0.9156671142228076
2018,1,5,16,0.9116631574836273
2018,1,5,17,0.9110502388623277
2018,1,5,18,0.9080441772446342
2018,1,5,19,0.9074304097568193
2018,1,5,20,0.9063833943592065
2018,1,5,21,0.9040316240928563
2018,1,5,22,0.8985209874849989
2018,1,5,23,0.8911238518872158
2018,1,5,24,0.88739991326899
2018,1,6,1,0.8964354714733372
2018,1,6,2,0.9074679658514824
2018,1,6,3,0.918942441321
2018,1,6,4,0.9283042321804122
2018,1,6,5,0.9383616622814758
2018,1,6,6,0.9472640965546658
2018,1,6,7,0.9540276679767139
2018,1,6,8,0.9607138913356699
2018,1,6,9,0.9713613034429485
2018,1,6,10,0.9714791037636589
2018,1,6,11,0.9603885015053533
2018,1,6,12,0.9483474063153025
2018,1,6,13,0.9474819988548834
2018,1,6,14,0.9398658382801516
2018,1,6,15,0.9299850369063011
2018,1,6,16,0.927194037480037
2018,1,6,17,0.9246092093055519
2018,1,6,18,0.9191595186589974
2018,1,6,19,0.9068858697503382
2018,1,6,20,0.8990405882137781
2018,1,6,21,0.899741076132586
2018,1,6,22,0.9225609877969054
2018,1,6,23,0.9218536445472489
2018,1,6,24,0.8977483986683852
2018,1,7,1,0.8557086865737983
2018,1,7,2,0.797352877444572
2018,1,7,3,0.7450054668211588
2018,1,7,4,0.7024924279643904
2018,1,7,5,0.6744172666229968
2018,1,7,6,0.6471626664136769
2018,1,7,7,0.6040565423864597
2018,1,7,8,0.5552301731360039
2018,1,7,9,0.4853989362713537
2018,1,7,10,0.4214166325259244
2018,1,7,11,0.36580636706136244
2018,1,7,12,0.3048640972420257
2018,1,7,13,0.25459395863027684
2018,1,7,14,0.23520534294568032
2018,1,7,15,0.22645806978461394
2018,1,7,16,0.21492546867782167
2018,1,7,17,0.20336510312901634
2018,1,7,18,0.17099701573632273
2018,1,7,19,0.13663749112592083
2018,1,7,20,0.13069267003068857
2018,1,7,21,0.13156980084063827
2018,1,7,22,0.14260349290157776
2018,1,7,23,0.14478229481325158
2018,1,7,24,0.15877820517518051
