Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,s_cfs
2018,1,1,1,0.0
2018,1,1,2,0.0
2018,1,1,3,0.0
2018,1,1,4,0.0
2018,1,1,5,0.0
2018,1,1,6,0.0
2018,1,1,7,0.0
2018,1,1,8,0.0
2018,1,1,9,0.0
2018,1,1,10,0.0
2018,1,1,11,0.0
2018,1,1,12,0.0
2018,1,1,13,0.017095779916982985
2018,1,1,14,0.26433539220674723
2018,1,1,15,0.45486405086638343
2018,1,1,16,0.5118760292991038
2018,1,1,17,0.48534416660161855
2018,1,1,18,0.4676265516211303
2018,1,1,19,0.5111311126262229
2018,1,1,20,0.5567805875779975
2018,1,1,21,0.39619540427561345
2018,1,1,22,0.05576895119507238
2018,1,1,23,9.528897239064876e-06
2018,1,1,24,0.0
2018,1,2,1,0.0
2018,1,2,2,0.0
2018,1,2,3,0.0
2018,1,2,4,0.0
2018,1,2,5,0.0
2018,1,2,6,0.0
2018,1,2,7,0.0
2018,1,2,8,0.0
2018,1,2,9,0.0
2018,1,2,10,0.0
2018,1,2,11,0.0
2018,1,2,12,0.0
2018,1,2,13,0.01475485158391577
2018,1,2,14,0.2411476665517418
2018,1,2,15,0.38938893462189195
2018,1,2,16,0.436236565523444
2018,1,2,17,0.4212000436778535
2018,1,2,18,0.41310525277405963
2018,1,2,19,0.42563816639222407
2018,1,2,20,0.40451353948568863
2018,1,2,21,0.2572548806683137
2018,1,2,22,0.038808932605767926
2018,1,2,23,2.5845680460437274e-06
2018,1,2,24,0.0
2018,1,3,1,0.0
2018,1,3,2,0.0
2018,1,3,3,0.0
2018,1,3,4,0.0
2018,1,3,5,0.0
2018,1,3,6,0.0
2018,1,3,7,0.0
2018,1,3,8,0.0
2018,1,3,9,0.0
2018,1,3,10,0.0
2018,1,3,11,0.0
2018,1,3,12,0.0
2018,1,3,13,0.016664641618552696
2018,1,3,14,0.25699728124793075
2018,1,3,15,0.44512361150886004
2018,1,3,16,0.4765038760360358
2018,1,3,17,0.4366316596247756
2018,1,3,18,0.4056033064175238
2018,1,3,19,0.4131165920748711
2018,1,3,20,0.41433060826044077
2018,1,3,21,0.3319810021332602
2018,1,3,22,0.06618956784803023
2018,1,3,23,1.1104957211851633e-05
2018,1,3,24,0.0
2018,1,4,1,0.0
2018,1,4,2,0.0
2018,1,4,3,0.0
2018,1,4,4,0.0
2018,1,4,5,0.0
2018,1,4,6,0.0
2018,1,4,7,0.0
2018,1,4,8,0.0
2018,1,4,9,0.0
2018,1,4,10,0.0
2018,1,4,11,0.0
2018,1,4,12,0.0
2018,1,4,13,0.020197478128971356
2018,1,4,14,0.2694216736590062
2018,1,4,15,0.4273211892946508
2018,1,4,16,0.45545562559373093
2018,1,4,17,0.4276676640169339
2018,1,4,18,0.41675239041553885
2018,1,4,19,0.434725176289429
2018,1,4,20,0.43461057005393655
2018,1,4,21,0.32024769905771944
2018,1,4,22,0.06165552000643163
2018,1,4,23,0.0
2018,1,4,24,0.0
2018,1,5,1,0.0
2018,1,5,2,0.0
2018,1,5,3,0.0
2018,1,5,4,0.0
2018,1,5,5,0.0
2018,1,5,6,0.0
2018,1,5,7,0.0
2018,1,5,8,0.0
2018,1,5,9,0.0
2018,1,5,10,0.0
2018,1,5,11,0.0
2018,1,5,12,0.0
2018,1,5,13,0.02006210206779821
2018,1,5,14,0.2560788332947157
2018,1,5,15,0.42625448109029745
2018,1,5,16,0.47308590166322256
2018,1,5,17,0.44950528220850045
2018,1,5,18,0.43787055232382105
2018,1,5,19,0.46341765263635204
2018,1,5,20,0.4729334571911859
2018,1,5,21,0.34181891700497813
2018,1,5,22,0.06335712251422959
2018,1,5,23,1.3349601433178795e-05
2018,1,5,24,0.0
2018,1,6,1,0.0
2018,1,6,2,0.0
2018,1,6,3,0.0
2018,1,6,4,0.0
2018,1,6,5,0.0
2018,1,6,6,0.0
2018,1,6,7,0.0
2018,1,6,8,0.0
2018,1,6,9,0.0
2018,1,6,10,0.0
2018,1,6,11,0.0
2018,1,6,12,0.0
2018,1,6,13,0.01925890474109788
2018,1,6,14,0.2732094889219431
2018,1,6,15,0.485038708895368
2018,1,6,16,0.5145725651545664
2018,1,6,17,0.4756218828219903
2018,1,6,18,0.46093144704540095
2018,1,6,19,0.4882344765636905
2018,1,6,20,0.4860543546539411
2018,1,6,21,0.3461378437392666
2018,1,6,22,0.06270324261133564
2018,1,6,23,1.0012063649382607e-05
2018,1,6,24,0.0
2018,1,7,1,0.0
2018,1,7,2,0.0
2018,1,7,3,0.0
2018,1,7,4,0.0
2018,1,7,5,0.0
2018,1,7,6,0.0
2018,1,7,7,0.0
2018,1,7,8,0.0
2018,1,7,9,0.0
2018,1,7,10,0.0
2018,1,7,11,0.0
2018,1,7,12,0.0
2018,1,7,13,0.009499478295311066
2018,1,7,14,0.06571325789557268
2018,1,7,15,0.14262353588411367
2018,1,7,16,0.19861567835591806
2018,1,7,17,0.22294629577208744
2018,1,7,18,0.21341560958605232
2018,1,7,19,0.18567438972778214
2018,1,7,20,0.15193086816639523
2018,1,7,21,0.09607667990599594
2018,1,7,22,0.013358966726158753
2018,1,7,23,0.0
2018,1,7,24,0.0
2018,1,8,1,0.0
2018,1,8,2,0.0
2018,1,8,3,0.0
2018,1,8,4,0.0
2018,1,8,5,0.0
2018,1,8,6,0.0
2018,1,8,7,0.0
2018,1,8,8,0.0
2018,1,8,9,0.0
2018,1,8,10,0.0
2018,1,8,11,0.0
2018,1,8,12,0.0
2018,1,8,13,0.0034272608598565567
2018,1,8,14,0.11892183544858832
2018,1,8,15,0.2900335988941128
2018,1,8,16,0.3707701669261654
2018,1,8,17,0.3658530291749014
2018,1,8,18,0.3620787494191539
2018,1,8,19,0.3893657145046081
2018,1,8,20,0.38488181889858003
2018,1,8,21,0.26503451284257645
2018,1,8,22,0.03811184222090448
2018,1,8,23,1.4692311033716646e-05
2018,1,8,24,0.0
2018,1,9,1,0.0
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,0.0
2018,1,9,9,0.0
2018,1,9,10,0.0
2018,1,9,11,0.0
2018,1,9,12,0.0
2018,1,9,13,0.01276399839665718
